name,rating,number_of_photos,message,name_clean,name_length,rating_clean,rating_length,number_of_photos_clean,number_of_photos_length,message_clean,message_length
이주영,,23.0,"Editado 3 semanas atrás Muito bom, depois da reforma ficou melhor ainda. Doces saborosos, principalmente o banoffe, torta de morango, eclair, mil folhas, cheesecake. Também há vários sabores de gelato, e o cone é simplesmente sensacional, além de ser artesanal, lá no fundo tem um leve gostinho de canela. Lugar bem aconchegante, com vários lugares para sentar tanto interno, tanto externo. Porém dependendo do dia, tem um atendimento muito bom ou ruim, e geralmente o preço dos produtos são altos (um pouco). 🔥1  /",이주영,3,nan,3,23.0,4,"editado 3 semanas atrás muito bom, depois da reforma ficou melhor ainda. doces saborosos, principalmente o banoffe, torta de morango, eclair, mil folhas, cheesecake. também há vários sabores de gelato, e o cone é simplesmente sensacional, além de ser artesanal, lá no fundo tem um leve gostinho de canela. lugar bem aconchegante, com vários lugares para sentar tanto interno, tanto externo. porém dependendo do dia, tem um atendimento muito bom ou ruim, e geralmente o preço dos produtos são altos (um pouco). 🔥1 /",514
Samira Nahas,,,"2 semanas atrás NOVA Fui nessa Ofner almoçar no domingo e fui muito mal atendida pela funcionária que confundiu meu pedido e ainda quando reclamei para trocar ela disse que eu tinha pedido errado ,achando que ela estava certa qdo não estava ! Nunca vi isso de discutir com cliente ! Grossa e debochada! O local é agradável mas o atendimento é péssimo ! E em outras vezes os atendentes foram muito atrapalhados! Uma pena pois o local e a comida são de qualidade só precisa trocar a maioria dos funcionários!🫤  /",samira nahas,12,nan,3,nan,3,"2 semanas atrás nova fui nessa ofner almoçar no domingo e fui muito mal atendida pela funcionária que confundiu meu pedido e ainda quando reclamei para trocar ela disse que eu tinha pedido errado ,achando que ela estava certa qdo não estava ! nunca vi isso de discutir com cliente ! grossa e debochada! o local é agradável mas o atendimento é péssimo ! e em outras vezes os atendentes foram muito atrapalhados! uma pena pois o local e a comida são de qualidade só precisa trocar a maioria dos funcionários!🫤 /",509
Olívia Tartufari,,,"uma semana atrás NOVA Frequento a Ofner a décadas mas não é mais a mesma, a começar pelo salgados antes as coxinhas e empadas ficavam numa estufa agora eles aquecem na hora vem toda engordurada quentíssima por fora e fria por dentro, a empada quebrada, e fora o atendimento muito fraco. É uma pena!  /",olívia tartufari,16,nan,3,nan,3,"uma semana atrás nova frequento a ofner a décadas mas não é mais a mesma, a começar pelo salgados antes as coxinhas e empadas ficavam numa estufa agora eles aquecem na hora vem toda engordurada quentíssima por fora e fria por dentro, a empada quebrada, e fora o atendimento muito fraco. é uma pena! /",300
Tania Lacerda de Almeida,,,"um mês atrás Vou sempre tomar café nesta doceira apesar de achar o atendimento muito ruim. Precisa mais treinamento e mais funcionários. Certa vez, fiz o pedido e tive a paciência de esperar chegar o pedido na minha mesa. Passados 40 minutos chamei outra funcionária que atendeu depois de falar o tempo que esperei. Era um domingo 17hs. São produtos de qualidade,porém atendimento deixa muito a desejar.  /",tania lacerda de almeida,24,nan,3,nan,3,"um mês atrás vou sempre tomar café nesta doceira apesar de achar o atendimento muito ruim. precisa mais treinamento e mais funcionários. certa vez, fiz o pedido e tive a paciência de esperar chegar o pedido na minha mesa. passados 40 minutos chamei outra funcionária que atendeu depois de falar o tempo que esperei. era um domingo 17hs. são produtos de qualidade,porém atendimento deixa muito a desejar. /",405
Silvia Borges,4.7/5,86.0,"um ano atrás Refeição no local  /  Outro Recomendo - Pet friendly Faz muito tempo que frequento esta loja Ofner. Após a reforma recente o ambiente ficou mais amplo e agradável. Doces e salgados dispensam comentários, né, tudo ali é delicioso. Hoje minha escolha foi o APFELSTRUDEL, com sorvete de coco. Isso mesmo, sorvete de coco para fugir do tradicional sorvete de vanila, rs E para finalizar, um espresso. Comida: 5/5  /  Serviço: 4/5  /  Ambiente: 5/5 ❤️2  /",silvia borges,13,4.7/5,5,86.0,4,"um ano atrás refeição no local / outro recomendo - pet friendly faz muito tempo que frequento esta loja ofner. após a reforma recente o ambiente ficou mais amplo e agradável. doces e salgados dispensam comentários, né, tudo ali é delicioso. hoje minha escolha foi o apfelstrudel, com sorvete de coco. isso mesmo, sorvete de coco para fugir do tradicional sorvete de vanila, rs e para finalizar, um espresso. comida: 5/5 / serviço: 4/5 / ambiente: 5/5 ❤️2 /",456
Ricardo Ferrara,,5888.0,5 meses atrás Ótimas bebidas quentes ! Ótimo croissant de presunto e queijo!  /,ricardo ferrara,15,nan,3,5888.0,6,5 meses atrás ótimas bebidas quentes ! ótimo croissant de presunto e queijo! /,78
Lorena Gigli,,,"3 dias atrás NOVA Atendimento péssimo, 35 minutos esperando um café e para piorar nao trouxeram o croissant!!! Sem contar que no frio de 9 graus , a estufa estás em gás!!!! ❤️1  /",lorena gigli,12,nan,3,nan,3,"3 dias atrás nova atendimento péssimo, 35 minutos esperando um café e para piorar nao trouxeram o croissant!!! sem contar que no frio de 9 graus , a estufa estás em gás!!!! ❤️1 /",178
Lilian Moskau,,35.0,"Editado 2 meses atrás Sou freguesa da Ofner há muitos anos e sempre fui fã de tudo desde doces a todos salgados. Estou decepcionada com a qualidade do casadinho de camarão. Acredito que tenham mudado a receita. Comprei ontem e trouxe para casa e estava horrível. A massa dura, longe de ser cremosa, parecia mais uma pasta de cimento. Fiquei chocada, triste e inconformada pois é de altissimo preço e qualidade zero!!! A empadinha diminuiu de tamanho e de recheio, mas o preço aumentou muuuito, que injustiça!!!Favor repensar e refazer a receita dos meus salgadinhos favoritos.  /",lilian moskau,13,nan,3,35.0,4,"editado 2 meses atrás sou freguesa da ofner há muitos anos e sempre fui fã de tudo desde doces a todos salgados. estou decepcionada com a qualidade do casadinho de camarão. acredito que tenham mudado a receita. comprei ontem e trouxe para casa e estava horrível. a massa dura, longe de ser cremosa, parecia mais uma pasta de cimento. fiquei chocada, triste e inconformada pois é de altissimo preço e qualidade zero!!! a empadinha diminuiu de tamanho e de recheio, mas o preço aumentou muuuito, que injustiça!!!favor repensar e refazer a receita dos meus salgadinhos favoritos. /",578
Charles,,43.0,"2 meses atrás Impossível resistir às delícias da Ofner! Cada doce é feito com tanto cuidado e sabor que transforma qualquer momento em algo especial. Parabéns pela qualidade, tradição e excelência que sempre encantam. Uma verdadeira referência quando o assunto é doce! 🍰  /",charles,7,nan,3,43.0,4,"2 meses atrás impossível resistir às delícias da ofner! cada doce é feito com tanto cuidado e sabor que transforma qualquer momento em algo especial. parabéns pela qualidade, tradição e excelência que sempre encantam. uma verdadeira referência quando o assunto é doce! 🍰 /",272
Mauricio T.,5.0/5,16.0,"7 meses atrás Outro  /  R$ 60–80 O local é agradável, gosto de comer o creme holandês que é meu favorito. O gelato de pistache é bom, mas não é o melhor, prefiro o de chocolate! O atendimento é bom, sem reclamações! Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 Nível de barulho Nível moderado de barulho Tempo de espera Até 10 minutos  /",mauricio t.,11,5.0/5,5,16.0,4,"7 meses atrás outro / r$ 60–80 o local é agradável, gosto de comer o creme holandês que é meu favorito. o gelato de pistache é bom, mas não é o melhor, prefiro o de chocolate! o atendimento é bom, sem reclamações! comida: 5/5 / serviço: 5/5 / ambiente: 5/5 nível de barulho nível moderado de barulho tempo de espera até 10 minutos /",332
